site,course_description,course_name,course_section,course_section_credit,course_section_start,course_section_end,school,course_id,institution
www.pratt.edu,"This course offers undergraduate students the opportunity to travel abroad to study the international contexts of physical planning, including urban design, transportation, public space, infrastructure, parks and other aspects of the built environment.",International:physical Planning,,,,,School of School of Architecture,PLAN-400AP,Pratt Institutions
www.pratt.edu,,BLS Partnership,,,,,School of School of Architecture,PEX-600,Pratt Institutions
www.pratt.edu,CM 152 History of Construction Technology 3 credits The course traces the history of construction technologies through architecture from prehistory to the present day. There is an emphasis on the role of technology in shaping architecture as well as an examination of the cultural social forces that underlie the built environment. The course will relate history to the development of various building technologies and how these technologies influenced design.,17/SP - History of Construction Technology,CM-152-02,3.00000,Jan 17 2017 ,May 12 2017  ,School of School of Architecture,CM-152,Pratt Institutions
www.pratt.edu,"This course introduces students to professional writing as used in city planning practices. Students become familiar with and gain experience producing professional written forms, such as the planning report, the opinion piece or letter to the editor and public testimony. They also become familiar with synthesizing data and writing about graphics. The course will be conducted in coordination with the mini-studio project in PLAN 600: Fundamentals: Seminar &amp; Studio.",17/SP - Skills I: Writing for Planners Planning and Preservation,PLAN-601B-01,1.00000,Feb 21 2017 ,Mar 28 2017  ,School of School of Architecture,PLAN-601B,Pratt Institutions
www.pratt.edu,This course introduces students to Geographic Information Systems software as used in city planning practice. Students become familiar with and gain experience analyzing data and producing professional maps. The course will be conducted in coordination with the mini-studio project in PLAN 656: Fundamentals of Planning.,17/FA - Skills I: Introduction to GIS Planning and Preservation,PLAN-601A-01,1.00000,Aug 28 2017 ,Oct  2 2017  ,School of School of Architecture,PLAN-601A,Pratt Institutions
www.pratt.edu,"This course introduces students to methods and tools for visual communication using information graphics.  The five-week course will review information graphic types, principles of visual reasoning, graphic design, and methods for story-boarding.  In-class exercises will demonstrate methods for creating information graphics using Illustrator, Photoshop, and Indesign and emphasize the integration of these three applications as well as Excel for effective presentation-making.  A four-part assignment of documentation and interpretation of urban phenomena will focus on the synthesis of various information graphics in order to generate visual contexts for planning and design actions.",17/SP - Skills 1: Infographics,PLAN-601E-01,1.00000,Apr 10 2017 ,May  8 2017  ,School of School of Architecture,PLAN-601E,Pratt Institutions
www.pratt.edu,"Presents the basic principles and practices of planning as they relate to the political planning process. Topics include the ethical and legislative basis for planning, approval processes, components of a master plan, components of subdivision/site plan regulations, zoning ordinances, special legislative powers, environmental reviews, capital budget processes, public participation and the role of key government agencies.",17/SP - Fundamentals: Seminar & Studio Of Planning,PLAN-600-02,5.00000,Jan 17 2017 ,May 12 2017  ,School of School of Architecture,PLAN-600,Pratt Institutions
www.pratt.edu,"by planners in their professional activities. It includes a discussion of various uses and types of data, compilation and reliability of data, population and housing characteristics, population dynamics, methods for estimating population and models for forecasting population.",17/SP - Planning Methods I,PLAN-605-02,3.00000,Jan 17 2017 ,May 12 2017  ,School of School of Architecture,PLAN-605,Pratt Institutions
www.pratt.edu,"The goal of this course is to provide the Construction Management student with hands-on experience in a simulated bid proposal situation. The students will need to collaborate to develop a professional proposal binder including a company description, resumes, relevant experience, cost estimate, schedule, logistics plan, safety plan, Quality Assurance and Quality Control (QA/QC)process, Equal Opportunity Employment (EOE) policy, union/non-union labor issues, contract, sustainable initiatives (USGBC LEED), BIM strategy, and value engineering recommendations. In addition the students will need to develop Requests for Information (RFIs), and respond to Addenda, and simulated sub-contractor telephone negotiations.  The students will need to assess each other\'s strengths and assign traditional Construction Manager roles: project executive, project manager, superintendent, cost estimator, scheduler, and safety officer.  Time management and public presentation skills are essential.",17/FA - Professional Bid Proposal Simulation,CM-291-01,1.00000,Aug 28 2017 ,Dec 18 2017  ,School of School of Architecture,CM-291,Pratt Institutions
www.pratt.edu,"Planners must have an understanding of how the legal system shapes the analysis, organization, and articulation of public goals and interests. This course covers the following subjects as they relate to the definition and achievement of concerted social action: the structure of government; the scope of authority of agencies and the substantive and procedural limits on various kinds of private and public actions; the major concepts of the law in which planning programs may be structured and planning disputes resolved; the vocabulary and procedural framework of legal dispute resolution; the ability to read statutes and regulations, find case law, and comprehend judicial opinions; the concepts of constitutional law, common law, case precedents and judicial review; and advocacy and the adversarial process as the basic method of dispute resolution.",17/SU - Planning Law,PLAN-604-01,3.00000,May 15 2017 ,Jun 19 2017  ,School of School of Architecture,PLAN-604,Pratt Institutions
